AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
CHA-261870-20,1,"University of California, Santa Barbara",University,Santa Barbara,CA,93106-0001,USA,24,34.417520,-119.857110,2018-07-01,2018,Collection Preservation and Study Center,Infrastructure and Capacity Building Challenge Grants,Challenge Programs,0.00,326593.00,0.00,69500.00,69500.00,0.00,2018-08-01,2023-05-31,"<p>The Art, Design &amp; Architecture Museum at the University
of California, Santa Barbara (AD&amp;AM) has built an international reputation
through its Architecture and Design Collection. Encompassing the history of
Southern California architecture, landscape design, and urbanism from the late
19th to the early 21st century, this still growing collection is the essential
archival resource for the study of Southern California through the prism of the
built environment. The AD&amp;AM requests $326,593 as part of a $1,306,371 NEH
Challenge grant to enhance the Museum’s infrastructure for collection preservation,
access and growth by supporting the renovation of a new Collection Preservation
and Study Center. The Center is needed to preserve and enable growth of the
collection, and to foster intensive and innovative use of the collection by
students and scholars through on-site visits and online access. Funds will be
raised from foundations, individual and corporate donors.</p>","Renovation of a university property to house the
museum’s collections as well as a research and study center.",Art History and Criticism,0,NULL,3,Bruce Robertson [Project Director]; Elyse Gonzales [Project Director]; Silvia  Perea [Project Director],1,Art History and Criticism
CHA-264420-20,1,Maine State Museum,General Museum,Augusta,ME,04333-0001,USA,1,44.414050,-69.751910,2019-03-01,2019,Maine State Museum Education Center,Infrastructure and Capacity Building Challenge Grants,Challenge Programs,0.00,95000.00,0.00,95000.00,95000.00,0.00,2019-05-01,2022-04-30,"This project seeks a $95,000 challenge grant to complete capital fundraising for a new education center to be built within the Maine State Museum in Augusta, Maine. The center will transform the museum's already well-regarded educational work by giving it important new capacities and versatility. The center will provide essential specially-designed space and technologies to allow museum educators to better deliver humanities-based, interactive 21st century learning opportunities to some 50,000 visitors annually.","The construction of a new education center to
offer enhanced humanities programming, particularly for school-age audiences,
at the Maine State Museum in Augusta, Maine.",Cultural History,0,NULL,1,Bernard Fishman [Project Director],1,Cultural History
CHA-264437-20,1,"Anthology Film Archives, Inc.",Archive,New York,NY,10009-7654,USA,12,40.723270,-73.985440,2019-03-01,2019,Anthology Film Archives Library Project,Infrastructure and Capacity Building Challenge Grants,Challenge Programs,0.00,750000.00,0.00,750000.00,750000.00,0.00,2019-05-01,2020-12-31,"Anthology Film Archives (AFA) is requesting a $750,000 NEH Challenge Grant to support the construction of a new, publicly accessible library. The library is the centerpiece of a major capital project to expand and renovate AFA’s facilities—for 30 years housed in Manhattan’s 1919 former Second Avenue Courthouse building—which will nearly double AFA’s overall space from 20,000 to 35,000 square feet. The total project budget is $15.3 million with $10.5M raised to date. AFA has received cash donations and pledges from foundations and individuals totaling $5.5M; the City of New York has committed $4.5M; and an additional $4.8M remains to be raised, $3.75M of which will be dedicated to the library. Major outcomes for the project will be to improve conditions for the preservation, study, and exhibition of artist-made film and media, enabling AFA to serve significantly more visitors and ensure its invaluable collections are preserved at the highest standards and more broadly accessible to all.","<p>Construction
of a new library unit, as part of a larger renovation of the Anthology Film
Archives (AFA), to improve preservation and provide access to rare printed
materials and unique archival collections documenting the history of American
and international experimental cinema.</p>",Film History and Criticism,0,NULL,1,John Mhiripiri [Project Director],1,Film History and Criticism
CHA-264451-20,1,Dallas Institute of Humanities and Culture,Non-Profit Educational Center,Dallas,TX,75201-1933,USA,30,32.797350,-96.803050,2019-03-01,2019,Building Renovation and Restoration,Infrastructure and Capacity Building Challenge Grants,Challenge Programs,0.00,500000.00,0.00,500000.00,500000.00,0.00,2019-05-01,2022-12-31,"The Dallas Institute of Humanities and Culture is embarking on a major project to bolster the current facilities for the benefit of expanding programming and exploring new opportunities. As a result of our success, increased annual events and programs, particularly the Summer Institute for Teachers through the Cowan Center for Education, Martin Luther King Jr. Symposium, and more have taxed existing facilities. We find our property in need of a restoration that will sustain the growth of the Institute, thereby encouraging greater collaboration and engagement with the city and its residents.","Renovation of the institute’s three-building
campus: the nineteenth-century Stroud
House, early twentieth-century Thomas Hall, and the Marcus Conference Center.
Renovation activities include installation of an elevator, classrooms, and restrooms;
electrical, mechanical, plumbing, lighting, and roof improvements; and audio/visual
capacity enhancements.","Literature, General",0,NULL,2,Larry Allums [Project Director]; Seemee Ali [Project Director],3,"Arts, General; History, General; Literature, General"
FEL-267194-20,2,Pennsylvania State University,Four-Year College,University Park,PA,16802-1503,USA,12,40.796590,-77.865290,2019-12-01,2019,The First Novel Specially Written for Women: An Edition and Translation of Jacopo Caviceo's Peregrino (1508),Fellowships,Research Programs,30000.00,0.00,30000.00,0.00,30000.00,0.00,2020-07-01,2020-12-31,"A six-month NEH Individual Fellowship will permit the completion of the first-ever English translation from Italian and a substantial critical introduction of Jacopo Caviceo's <em>Peregrino </em>(1508). The European bestseller has been called ""the first novel specially written for women"" (Letizia Panizza in <em>The Cambridge History of Italian Literature</em>) and was the first prose romance dedicated to a historical woman (Lucrezia Borgia).","Research and writing leading to the first English translation of the popular
early Italian novel <em>Peregrino</em> by
Jacopo Caviceo (1508).",Italian Literature,0,NULL,1,Sherry Roush [Project Director],1,Italian Literature
FEL-267212-20,2,University of Kentucky Research Foundation,Four-Year College,Lexington,KY,40506-0004,USA,6,38.039190,-84.506540,2019-12-01,2019,The Aesthetic Cold War: Decolonization and Global Literature,Fellowships,Research Programs,30000.00,0.00,30000.00,0.00,30000.00,0.00,2020-02-01,2020-07-31,"During the Cold War, both the US and the Soviet
Union jockeyed for geopolitical influence in what was then called the Third
World. The superpowers also competed for intellectual influence by sponsoring
literary activities in Africa, Asia, and the Caribbean. The Congress for
Cultural Freedom (organized clandestinely by the CIA), the US State Department,
and the Soviet Writers' Union funded outreach programs in the decolonizing
world, hosting international conferences, establishing publishing houses and
magazines, and sponsoring cultural exchange programs. Surprisingly, writers
from decolonizing areas did not line up neatly into Cold War camps. As archival
research demonstrates, writers were willing to accept patronage from both US
and Soviet agencies. This includes some of the leading intellectuals the day,
such as Chinua Achebe, Alex La Guma, Wole Soyinka, and Ngugi wa Thiong'o.&nbsp;","Completion of a book on the literary production
in Africa, Asia, and the Caribbean under the influence of Cold War politics.","Literature, General",0,NULL,1,Peter Kalliney [Project Director],3,"African Literature; British Literature; Literature, General"
FEL-267217-20,2,Tufts University,Four-Year College,Somerville,MA,02144-2401,USA,7,42.401190,-71.125520,2019-12-01,2019,The Modern Conception of Sovereignty: A New Edition of Jean Bodin's The Six Bookes of a Commonweale,Fellowships,Research Programs,60000.00,0.00,60000.00,0.00,60000.00,0.00,2021-07-01,2022-06-30,"Preparation of a new, cleaned-up, annotated edition of Jean Bodin's political treatise The Six Bookes of a Commonweale, which was translated by Richard Knolles in 1606 and is no longer in print, despite its extensive influence on modern political thought.","Editing, research, and writing annotations leading to the publication of an edition of French political philosopher Jean Bodin’s (1530-1596) <em>The Six Bookes of a Commonweale </em>(1576).",Political Theory,0,NULL,1,Ioannis Evrigenis [Project Director],3,"Philosophy, Other; Political Theory; Renaissance History"
FEL-267222-20,2,University of Edinburgh,Unknown,Edinburgh,Un,EH8 9AG,Scotland,2,Unknown,unknown,2019-12-01,2019,The Prestes Column Rebellion: An Interior History of Twentieth-Century Brazil,Fellowships,Research Programs,60000.00,0.00,60000.00,0.00,60000.00,0.00,2020-09-01,2021-08-31,"This project offers the first critical reinterpretation of one of the most mythologized events in Brazilian history: the Prestes Column rebellion, when from 1924 to 1927, a group of junior army officers marched nearly 25,000 kilometers through Brazil's vast interior. While existing scholarship has treated the passage through the interior as a backdrop to the rebellion, I focus on the interior regions themselves, exploring how the country's so-called “backlands"" served as both a place and a concept in the formation of modern Brazil. By analyzing the rebel passage through the interior and also the meanings attached to that experience afterwards, I will chart the Column's political, conceptual, and geographic significance throughout the twentieth century.My study of the Prestes Column will also serve to develop an entirely new subfield: interior history, an innovative approach for studying Brazil and also Latin America as a whole.","Research and writing leading to a
book on the Prestes Column, a rebellion of military personnel that shook
Brazilian politics and ignited the public imagination during the 1920s.",Latin American History,0,NULL,1,Jacob Blanc [Project Director],2,Latin American History; Rural Studies
FEL-267225-20,2,University of Florida,Center For Advanced Study/Research Institute,Gainesville,FL,32611-0001,USA,3,29.642820,-82.350290,2019-12-01,2019,"Patriots and Traitors in Revolutionary Cuba, 1961-1981",Fellowships,Research Programs,60000.00,0.00,60000.00,0.00,60000.00,0.00,2020-08-01,2021-07-31,"“These children will be patriots or traitors,” a poster declared in 1965 Cuba, “you decide. Teach them the work of the Revolution.” Yet citizens rarely responded to this call with unconditional support. For this reason, in the 1970s, the state turned to “rehabilitation” of citizens through labor camps, Soviet pedagogy designed to create a “Communist personality in every child” and finally, Fidel’s launch of the Mariel Boatlift in 1980—a policy to rid Cuba of critics accused of lacking “revolutionary genes”. What was it like to grow up in this Cuba? How did leaders go from “teaching the work of the Revolution” to repression and exclusion?  Through unused archives and oral history, I delve into the mechanisms through which grassroots support was constructed and challenged. Finding that the burdens of revolutionary citizenship often blurred lines, I illuminate an ironically apolitical nation within the binary of patriot vs. traitor: there, a creative, collective individualism thrived.","Research and writing leading to a
book on youth education programs during the Cuban Revolution between 1961 and
1981.",Latin American History,0,NULL,1,Lillian Guerra [Project Director],3,Cultural History; Latin American History; Latin American Studies
FEL-267248-20,2,Duquesne University,University,Pittsburgh,PA,15282-0001,USA,18,40.437940,-79.994030,2019-12-01,2019,"The Professor Was a Spy: A Biography of Norman Holmes Pearson (1909-1975), American Literary Scholar",Fellowships,Research Programs,60000.00,0.00,60000.00,0.00,60000.00,0.00,2021-07-01,2022-06-30,"As a scholar, teacher, networker, and spy, Norman Holmes Pearson's influence in 20th century American culture was profound, although barely known. With this NEH fellowship, I will complete my biography of Pearson. But this is a cultural biography, using Pearson’s life, experiences, and accomplishments to illustrate the evolution of American society from the 1920s to the 1970s, with a particular focus on how elite culture came together in the 1940s and 1950s to advance a political, cultural, and aesthetic vision of America, and how that consensus fell apart with Vietnam.","Research and writing leading to a cultural biography of Norman Holmes Pearson (1909-1975), a proponent of literary modernism, a U.S. intelligence operative, and a founding father of American Studies.",Cultural History,0,NULL,1,Gregory Barnhisel [Project Director],2,American Literature; Cultural History
